ylre_katuosat_point.5502;POINT (25493483.534524 6671591.063468);137850;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 60 litraa;1644;Rakennusvirasto Länsi;382;Ei talvikunnossapitoa;41;;Ei talvikunnossapitoa;III;3;Tonttikadut ja vähäliikenteiset klv:t;Rakennusvirasto Länsi;182;3;0;0;0;Tallbergin puistotie;Asuntokatu;903;42;20;2015-12-04 00:00:00;(60.15718416, 24.88266036)
ylre_katuosat_point.5533;POINT (25497806.816374 6673136.59382);142682;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 30 litraa;1643;Rakennusvirasto Länsi;382;Ei talvikunnossapitoa;41;;Ei talvikunnossapitoa;I;1;Pääkadut ja erittäin vilkkaat klv:t;Rakennusvirasto Länsi;182;2;0;0;0;Pohjoisranta;Pääkatu;4870;3917;276;2015-12-04 00:00:00;(60.17110204, 24.96049144)
ylre_katuosat_point.5566;POINT (25495045.877672 6672251.242885);141787;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 30 litraa;1643;Rakennusvirasto Länsi;382;Ei talvikunnossapitoa;41;;Ei talvikunnossapitoa;II;2;Kokoojakadut ja vilkasliikenteiset klv:t;Rakennusvirasto Länsi;182;2;0;0;0;Itämerenkatu;Asuntokatu;1065;914;354;2015-12-04 00:00:00;(60.16313148, 24.91077680)
ylre_katuosat_point.5605;POINT (25495236.524284 6672235.587907);141041;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 60 litraa;1644;Rakennusvirasto Länsi;382;Ei talvikunnossapitoa;41;;Ei talvikunnossapitoa;III;3;Tonttikadut ja vähäliikenteiset klv:t;Rakennusvirasto Länsi;182;2;0;0;0;Itämerenkuja;Kevyt liikenne;10501;6520;37;2015-12-04 00:00:00;(60.16299324, 24.91421069)
ylre_katuosat_point.5727;POINT (25495262.549376 6672272.903193);141770;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 30 litraa;1643;HKL;42;HKL;83;;Ei kiireellisyysluokkaa;H1;76;Hoitoluokittamaton, ei toimenpiteitä;HKL;34;2;0;0;0;Itämerenkatu;Asuntokatu;1065;914;337;2016-09-26 00:00:00;(60.16332846, 24.91467853)
ylre_katuosat_point.5753;POINT (25495853.3756831 6676335.4387674);534190;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - H1 roska-astia, 60 litraa;5604;Rakennusvirasto Länsi;382;Ei talvikunnossapitoa;41;;Ei talvikunnossapitoa;II;2;Kokoojakadut ja vilkasliikenteiset klv:t;Rakennusvirasto Länsi;182;3;0;0;0;Pasilanraitio;Asuntokatu;5372;4385;101;2016-09-29 00:00:00;(60.19979783, 24.92523646)
ylre_katuosat_point.5763;POINT (25497568.122586 6672925.191189);143273;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 30 litraa;1643;Rakennusvirasto Länsi;382;Ei talvikunnossapitoa;41;;Ei talvikunnossapitoa;II;2;Kokoojakadut ja vilkasliikenteiset klv:t;Rakennusvirasto Länsi;182;1;0;0;0;Aleksanterinkatu;Asuntokatu;781;673;28;2015-12-04 00:00:00;(60.16920326, 24.95619408)
ylre_katuosat_point.5874;POINT (25497240.24446 6672899.733556);143450;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 30 litraa;1643;Rakennusvirasto Länsi;382;Ei talvikunnossapitoa;41;;Ei talvikunnossapitoa;II;2;Kokoojakadut ja vilkasliikenteiset klv:t;Rakennusvirasto Länsi;182;1;0;0;0;Aleksanterinkatu;Asuntokatu;742;635;107;2015-12-04 00:00:00;(60.16897268, 24.95028829)
ylre_katuosat_point.5908;POINT (25502709.394148 6672795.204701);135983;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 30 litraa;1643;Rakennusvirasto Itä;381;Ei talvikunnossapitoa;41;;Ei talvikunnossapitoa;II;2;Kokoojakadut ja vilkasliikenteiset klv:t;Rakennusvirasto Itä;181;3;0;0;0;Laajasalontie;Kokoojakatu alueellinen;7570;5555;184;2015-12-04 00:00:00;(60.16803483, 25.04880315)
ylre_katuosat_point.5944;POINT (25498052.302562 6672656.971559);143798;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 30 litraa;1643;Rakennusvirasto Länsi;382;Rakennusvirasto Länsi;382;;B-luokka;II;2;Kokoojakadut ja vilkasliikenteiset klv:t;Rakennusvirasto Länsi;182;2;0;0;0;Kruunuvuorenkatu;Asuntokatu;678;572;28;2015-12-04 00:00:00;(60.16679847, 24.96491828)
ylre_katuosat_point.6123;POINT (25495226.915434 6672122.380894);140177;Kalusteet ja leikkivälineet;32;Jäteastiat;383;HKR - roska-astia, 60 litraa;1644;Rakennusvirasto Länsi;382;Ei talvikunnossapitoa;41;;Ei talvikunnossapitoa;III;3;Tonttikadut ja vähäliikenteiset klv:t;Rakennusvirasto Länsi;182;2;0;0;0;Ruoholahdentori;Tori;5741;4724;29;2015-12-04 00:00:00;(60.16197704, 24.91404029)
